contentGroupKind,contentGroupKey,isRepresentativeInGroup,relativePath,bytes,bytesSha256,textractBlocksNormSha256,textractOutJson,textNormSha256,numPages,normalizedTextChars,parseError,textractReadError
textract_blocks_no_ids,"textract_norm:0006b8b6da0c4466be2bfc52a5a0c9b1fae4228598788dd73714d18e4a50efa6",1,"doop/OneDrive_3_12-5-2026/Cronogramas técnico tecnológico/Modalidad presencial/Cronograma Ubicación-Suficiencia-Validación conocimientos de Inglés_GR-TEC-PS_D-El-P_Íntegro_202625-202630-202650.pdf",911862,714162353d896cfe45f6161039f8fb7316b1e7f8e1a5a6e50df924f134da0647,0006b8b6da0c4466be2bfc52a5a0c9b1fae4228598788dd73714d18e4a50efa6,"71416235_doop_OneDrive_3_12-5-2026_Cronogramas_te_cnico_tecnolo_gico_Modalidad_presencial_Cronograma_Ubicacio_n-Suficiencia-Valid.json",,4,0,,
textract_blocks_no_ids,"textract_norm:0211f13b2fd8cfb24643b24daacdc596acfcb96313981fa15fd769ec73d4b94b",1,"doop/OneDrive_3_12-5-2026/Cronogramas técnico tecnológico/Modalidad en línea/Cronograma_Elaboración materiales_TEC_EL__ABR-AGO_2026.pdf",401953,c3bb844f26966a5977ed705946a99230a014f6e0539b8ecac01c11dfa80c4fe0,0211f13b2fd8cfb24643b24daacdc596acfcb96313981fa15fd769ec73d4b94b,"c3bb844f_doop_OneDrive_3_12-5-2026_Cronogramas_te_cnico_tecnolo_gico_Modalidad_en_li_nea_Cronograma_Elaboracio_n_materiales_TEC_E.json",,2,0,,
textract_blocks_no_ids,"textract_norm:03a4a483b0366e131052169cb6de837ba98ea569ec4b46bea44572fef074addf",1,"doop/RV_ Publicación calendarios_ validación general, validación de inglés abril - agosto 2026 2/Calendario Validación general_GR-PS-TEC_D-EL_Estudiantes_202630.pdf",191985,05e2ca9438daefe2582b36cabf56937b5d9dbdad642e5ee237f0ebbff3d759b4,03a4a483b0366e131052169cb6de837ba98ea569ec4b46bea44572fef074addf,"05e2ca94_doop_RV_Publicacio_n_calendarios_validacio_n_general_validacio_n_de_ingle_s_abril_-_agosto_2026_2_Calendario_Validaci_n_.json",f1eb4553bc0d199edb21279a70e2cede4bc16518e0d2834a5faa96638547391f,2,1137,,
textract_blocks_no_ids,"textract_norm:03a996381a8d866ddbe9d6c8654ace4bf04f66edf816a4fc8467d4326eb4594b",1,"doop/RV_ Publicación calendarios_ grado, modalidad en línea, abril - agosto 2026/Calendario académico modular_TEC_P_Estudiantes_202630.pdf",194932,5b214a338af65483b5f09a77b5f49d64af3585269f3661a2a60e4ada978089e1,03a996381a8d866ddbe9d6c8654ace4bf04f66edf816a4fc8467d4326eb4594b,"5b214a33_doop_RV_Publicacio_n_calendarios_grado_modalidad_en_li_nea_abril_-_agosto_2026_Calendario_acad_mico_modular_TEC_P_Estudi.json",73778465b4dda51f763f1b829c5d4e1133c3975a0b35cf88a740ed343f43b446,2,1639,,
textract_blocks_no_ids,"textract_norm:05f84c963720e13cae7dfedd86781219469d7c3238d5858a3e81ffeea8cb9097",1,"doop/OneDrive_3_12-5-2026/Cronogramas grado/Modalidad a distancia, en línea/Cronograma Unidad Titulación Especial_GR-PS_D-P_Íntegro_202630.pdf",3933378,18b209296a738dfe92cf959d218e7894b1c8b4eddc7f722cd95ac38c4a112a5e,05f84c963720e13cae7dfedd86781219469d7c3238d5858a3e81ffeea8cb9097,"18b20929_doop_OneDrive_3_12-5-2026_Cronogramas_grado_Modalidad_a_distancia_en_li_nea_Cronograma_Unidad_Titulacio_n_Especial_GR-PS.json",,18,0,,
textract_blocks_no_ids,"textract_norm:077df658cf0b1e002aea481c3632c93498ad19e03d9c0f92ab5f188a6ddcdad1",1,"doop/OneDrive_2_12-5-2026/Cronograma Ubicación-Suficiencia-Validación conocimientos de Inglés_GR-TEC-PS_D-El-P_Íntegro_202625-202630-202650.pdf",911862,714162353d896cfe45f6161039f8fb7316b1e7f8e1a5a6e50df924f134da0647,077df658cf0b1e002aea481c3632c93498ad19e03d9c0f92ab5f188a6ddcdad1,"71416235_doop_OneDrive_2_12-5-2026_Cronograma_Ubicacio_n-Suficiencia-Validacio_n_conocimientos_de_Ingle_s_GR-TEC-PS_D-El-P_I_nteg.json",,4,0,,
textract_blocks_no_ids,"textract_norm:07e0756b41f841a1d23accdf8abbaf56b889fc983dfac8bda9e11b80dada881a",1,"doop/RV_ Publicación calendarios_ Calendario interno rotativo medicina mayo 2026 - abril 2027 2/Cronograma académico internado rotativo GR__P__Íntegro__202640.pdf",495976,44c9ac7f7366cb99627a162e15b898183826e952503333c8693584bdd05cc6dc,07e0756b41f841a1d23accdf8abbaf56b889fc983dfac8bda9e11b80dada881a,"44c9ac7f_doop_RV_Publicacio_n_calendarios_Calendario_interno_rotativo_medicina_mayo_2026_-_abril_2027_2_Cronograma_acad_mico_inte.json",,2,0,,
textract_blocks_no_ids,"textract_norm:09098820e63830e1b82511a3c523c14324544ebfa51830e0a8e3c5ed7b099fa8",1,"doop/RV_ Publicación calendarios_ validación general, validación de inglés abril - agosto 2026 2/Calendario Suficiencia de Inglés Int. Externas_GR-PS_D-EL-P_Estudiantes_202630.pdf",190363,0feaa054d0f385f83d967be2d37c320463226742b6ad388b1bca5c9c7875e324,09098820e63830e1b82511a3c523c14324544ebfa51830e0a8e3c5ed7b099fa8,"0feaa054_doop_RV_Publicacio_n_calendarios_validacio_n_general_validacio_n_de_ingle_s_abril_-_agosto_2026_2_Calendario_Suficiencia.json",905acb61ce376d986693d2fbce9ae618901a31731aabd1ea2c535845b97508df,2,851,,
textract_blocks_no_ids,"textract_norm:0da9bb9a67cb77208e4a1bef0e9abe9282c73e723083eae9bf9bdb0d670f088a",1,"doop/OneDrive_4_12-5-2026/Trámites y servicios/Cronograma_Servicios de reconocimiento_GR, PS, TEC_D, EL__ABR-AGO_2026.pdf",189257,76484ad70c9939280886172414e2a50d176cb665e284ca31d6aa8c2d204d8422,0da9bb9a67cb77208e4a1bef0e9abe9282c73e723083eae9bf9bdb0d670f088a,"76484ad7_doop_OneDrive_4_12-5-2026_Tra_mites_y_servicios_Cronograma_Servicios_de_reconocimiento_GR_PS_TEC_D_EL_ABR-AGO_2026.json",985e5aec6bec3c7b1362f80b5ed90f8f1dde1c9da89c30913e9992fdf140011f,3,4097,,
textract_blocks_no_ids,"textract_norm:0f855ec060cf612a43833694c5b08e6c000479a19db467597b51090cf1d9c824",1,"doop/RV_ Publicación calendarios_ grado, modalidad en línea, abril - agosto 2026/Calendario académico_TEC_EL_Docentes_202630.pdf",201132,51f5139521d9689aec52f2641c6051a37c8e26d5e2c4adbc67db2c773bd20e9c,0f855ec060cf612a43833694c5b08e6c000479a19db467597b51090cf1d9c824,"51f51395_doop_RV_Publicacio_n_calendarios_grado_modalidad_en_li_nea_abril_-_agosto_2026_Calendario_acad_mico_TEC_EL_Docentes_2026.json",438bfefa7022f4d0ae626ab6926f1adcd18139083969d2bd86b2776773a6afff,2,3259,,
